title,alt_title,type,description,genre,author,artist,rate,image,released
The Baby Divine Beast,"아기 신수로 환생했습니다, I Was Reincarnated as a Baby Fox God, I Was Reincarnated as a Divine Beast Baby, I Was Reincarnated as a Beast God, 転生したら神獣でした, 轉生成了神獸寶寶, 重生为神兽宝宝, Me reencarné como una diosa bebé",manga,"The princess of the Roachim Empire was killed by her older brother.
Killed, accused of killing their father, the Emperor, she…
 
Kyuaang?
 
…was reincarnated as a divine beast?!
 
An unexpected second life.
But something seems weird?
 
The ruler of the north of the Roachim Empire.
The owner of the Idelbadour Mountains and the Ice Wall.
The Grand Duke of Elharan, whom the Emperor himself cannot approach recklessly…
 
‘My dad, so you mean I’m a divine beast?!’
 
***
 
“My lady…!”
“Please accept these tributes and send down your blessings!”
 
The villagers knelt together at once and prayed earnestly.
While wiggling and not knowing what to do, I heard the sound of laughter in my ear.
 
-Lusha got stronger!
-She’s strong! She’s fresh! She’s thrilling!
-Look at that, even the humans surrendered in the face of Lusha!

The spirits were terribly proud of her, saying that the humans were afraid because of Lusha’s power.
And they lifted her in the air and carried her.
Encompassing her was also a dazzling light that appeared out of nowhere.
Everyone who was praying opened their eyes wide.
 
“It’s the blessing of the Divine Beast!”
“Hooray for the Baby Fox!”
 
Lusha sighed.
 
“Kiiyuu…”","Historical, Animals, Long Strip, Romance, Comedy, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color",Yeon Baekrim(연백림),Leaf (리프),8.482,https://mangadex.org/covers/c221af9e-450f-4600-9eab-c4a1bedc665c/3877944d-95ef-40f5-ad39-692e63450737.jpg,2022
"I Love You, as a Friend","作為朋友，最喜歡你了, 友達として大好き, Я люблю тебя, как друга, I Love You, as a Friend",manga,"When escaping from the angry girlfriend of a boy she just finished blowing, Sanako enters a random classroom and meets Yuito, a serious and handsome boy who she immediately falls in love with and proceeds to get aroused by. Taking to heart the school rule that forbids students from forming romantic relationships, the overly serious Yuito refuses her confession. So what is she to do? Naturally, sexually harass him with the excuse that it's simply just a little skinship between friends until he gives in.  
  


---","Romance, Comedy, Drama, School Life, Slice of Life, Gyaru",Yuuchi Mikumi,Yuuchi Mikumi,8.1714,https://mangadex.org/covers/fac0d1c0-bfe9-4668-ac36-0ed1c47eb423/fb97c242-b51b-4d7e-859f-8bb52880346a.jpg,2020
THE iDOLM@STER Cinderella Girls - Daremasu Battle Royale (Doujinshi),,manga,,"Thriller, Action, Psychological, Survival, Doujinshi, Gore, Web Comic, Tragedy",Battle_oekaki,Battle_oekaki,4.3846,https://mangadex.org/covers/ff78afd7-6298-4ab0-8d45-9bd2660fa66f/c0734bcd-d426-4fad-a031-b02127efa8b4.jpg,-
Tokyo Neon Scandal,"東京ネオンスキャンダル, 東京霓虹醜聞, Toukyou Neon Scandal",manga,"The magazine contains people ""secrets"".

Hayama, a new employee is assigned to the weekly scandal editorial department.

It is a weekly photo magazine that publishes extreme stories about everything, from celebrity infidelity to behind-the-scenes crimes, and is derided as ""trash"" by some people.

As soon as he is assigned to the magazine, Hayama is paired up with a female photographer and heads for Roppongi without knowing why.

What awaits him there is a ridiculous secret junkie who masturbates to the repercussions of her scoops…….
___
[Alt Official Raw (COMIC DAYS)](https://comic-days.com/episode/14079602755480230489)","Thriller, Crime, Sexual Violence, Drama",Mita,Gashitani,6.9068,https://mangadex.org/covers/b23244c4-7d4f-4f14-a94f-fc6df30905b6/ecd84b44-db70-49ad-8c6b-073005b805e3.jpg,2021
Jikan Teishi Yuusha - Yomei 3-ka no Settei ja Sekai wo Sukuu ni wa Mijika Sugiru,"Time Stop Brave - A Game Setting to Save the World in Three Days is Way too Short, Герой, останавливающий время, 停止時間的勇者⸺只能再活三天這種設定對拯救世界來說未免太短了⸺, 停止时间的勇者⸺只能再活三天这种设定对拯救世界来说未免太短了⸺, 時間停止勇者―余命３日の設定じゃ世界を救うには短すぎる―, Time Stop Hero",manga,"KUZUNO Sekai was transported to a medieval fantasy game-like world (isekai). He was given a game controller with the ability to stop time and a 3-day countdown timer. Now he has to figure out the mechanics of this game world and clear it in time.

--- 
- The chapters labeled ""Nips ver."" contain uncensored nipples.","Monsters, Action, Demons, Comedy, Zombies, Adventure, Video Games, Magic, Isekai, Drama, Fantasy",Mitsunaga Yasunori,Mitsunaga Yasunori,8.0643,https://mangadex.org/covers/08a25bd7-ce34-4630-8552-b93fe16852d9/08ff85db-94c4-477c-a83a-2b58087e8e59.jpg,2019
I'm No Heroine!,"남주는 정중히 사양하겠습니다!, Namjuneun Jeongjunghi Sayanghagessseubnida!, I Will Politely Decline the Male Lead!, Пожалуй, откажусь от главного героя!, 男主人公は丁重にお断りします！, 男主我就敬谢不敏了！, 礼貌地拒绝男主角, 我會禮貌地拒絕男主角, 我竟是大反派, 禮貌地拒絕男主角, Rechazare cortésmente al protagonista",manga,"A girl obsessed with a novel suddenly finds herself transported into the thick of the plot. The problem is, she has taken on the role of the villain in the story. And she knows how this ends… it's off with her head! Maybe she'll just let this play out and wake up back in reality… But after a few too many deaths to no avail, it's finally time to go off-script. She's going to have a little fun with this tale. She's made up her mind… to live!

---
**Official Translations:**
* [Chinese (Traditional) / 漢語](https://www.bomtoon.tw/detail/namju_RJ)
* [French / Français](https://www.delitoon.com/detail/daf_1000570)
* [Japanese / 日本語](https://www.lezhin.jp/ja/comic/okotowari)","Reincarnation, Long Strip, Romance, Magic, Isekai, School Life, Fantasy, Villainess, Web Comic, Adaptation, Full Color",Yehwon,샐러맨,8.3774,https://mangadex.org/covers/6833095a-ea1b-4fa9-be44-c7df7f293082/ef8b2672-7eee-493c-a461-dd5eecfdcdb3.jpg,2021
Slow Melting,"Slow Fusion, 멜팅 슬로우",manga,"My boyfriend is getting married. To my own sister, no less. I could handle the breakup. Betrayal was nothing new. But accepting the fact that once again my sister stole what was mine proved to be unbearable. In the midst of this heart-wrenching time, I encountered Yunhwan…","Long Strip, Romance, Drama, Web Comic, Full Color",Early Flower,Early Flower,5.25,https://mangadex.org/covers/5f68f088-f027-4771-bea2-19603b682934/8eba9c48-bafd-4124-a779-b91f2d30108a.jpg,2024
Yuusha-sama wa Houshuu ni Hitozuma wo go Kibou desu,"勇者さまは報酬に人妻をご希望です, The Hero Wants a Married Woman as a Reward",manga,"The hero, Chloe, is a strange hero who demands a bounty when saving people. And what makes it different is the prize... He only likes married women, so he demands the prettiest Milf in town.

**""If you want me to save the city, give me your most beautiful married woman!""**

 A unique erotic fantasy story created by a hero!","Monsters, Action, Romance, Adventure, Sexual Violence, Harem, Drama, Fantasy",Toyama Burin,Toyama Burin,7.1986,https://mangadex.org/covers/898d5e90-ebc3-4d08-af53-f4462fdef573/1c3fe589-9ea0-4eaa-a13a-6eab6cf6f62b.jpg,2022
The Brilliant Healer's New Life in the Shadows,一瞬で治療していたのに役立たずと追放された天才治癒師、闇ヒーラーとして楽しく生きる,manga,"Born a poor man in the slums, Zenos never had opportunities in life, so he decides to forge his own opportunities by teaching himself the curative arts after a chance encounter with a healer. When an adventuring party led by a man named Aston extends him an invitation, Zenos is elated—only to then be treated like dirt by his teammates. Despite Zenos’s diligent efforts to hone his skills to nothing short of perfection, the party deems him useless and kicks him out. Bereft of money and options, Zenos starts an illegal clinic and becomes a shadow healer. Word of his healing genius spreads quickly throughout the city’s underbelly, and as his reputation grows among the dregs of society, knowledge of Zenos's esteem reaches the wrong ears...",Fantasy,Hishikawa Sakaku,Junoichi Ten,7.9231,https://mangadex.org/covers/f13cf3f1-3b54-4808-aa20-571207040e55/32f53007-d6a2-4610-8d3e-53fd184f0113.jpg,2022
The Betrayed Hero Who Was Reincarnated as the Strongest Demon Lord,"The Ex-Hero Who Resurrected as the Most Powerful Demon Lord, A middle-aged hero, betrayed by his favourite pupil, is revived as history’s strongest Demon Lord, 愛弟子に裏切られて死んだおっさん勇者、史上最強の魔王として生き返る, 被愛徒背叛而喪命的勇者大叔，作為史上最強魔王復活, 被爱徒背叛而丧命的勇者大叔，作为史上最强魔王复活, 애제자에 배신당해 죽은 아저씨 용사, 사상 최강의 마왕으로서 되살아나다",manga,"The hero, Fried, confronts the demon lord with his student, Lyle. Fried killed the demon lord after a ferocious battle. “I'm going to put an end to this war!” Just as he was about to finish off the demon lord, he is betrayed by his student who attacked from behind. Fried, who was supposed to be dead, wakes up next to a demon girl who calls him the demon lord for some reason. It seems that Fried has risen as the new demon lord and will now have to protect the demonkind under his command while fighting his former comrades  
  
- [Webnovel Link](https://ncode.syosetu.com/n0087ep/)","Reincarnation, Monsters, Action, Demons, Adventure, Magic, Fantasy, Adaptation",Rokushima Asa,Mukawa Tomohisa,6.888,https://mangadex.org/covers/e23e9bc7-8495-4d9b-9320-0c4bfb68b14c/20efef05-5e4e-4a27-af2a-bbf77cf26112.jpg,2020
The Baby Concubine Wants to Live Quietly (Promo),"아기 후궁님은 조용히 살고 싶어, Agi Hugungnimeun Joyonghi Salgo Sipeo",manga,"I possessed a supporting character in a reverse harem novel.

As a young concubine who gained the interest of the emperor. The concubines, the male lords, eventually killed her for treason.

Fortunately, I possessed her just as she was entering the Imperial Palace. Everyone in the Imperial Palace was wary of me, but didn't hate me yet. I don't need, nor do I want to be loved by the emperor.

""Come to my room tonight. I'll read you a fairy tale!""
'Woo, don't cry. I'll give you this.""

But why is everyone so soft towards me? I couldn't understand.","Oneshot, Reincarnation, Long Strip, Romance, Reverse Harem, Isekai, Fantasy, Adaptation, Full Color",Yemaro (예마로),Mas,8.5638,https://mangadex.org/covers/5ad7b910-d5dc-4368-9554-c04bd09c4c53/1efb4fb5-10d9-472f-bfc1-8403ed57f3fa.jpg,2021
The Angelic Transfer Student and Mastophobia-kun,"天使な転校生ちゃんと巨乳恐怖症くん, Angelic Transfer Student–chan & Mastophobia-kun, 転校生の天嶺鶴ちゃん, Transfer Student Terezuru-chan, Transfer Student Teredzuru-chan, The Angelic Yet Devilish Transfer Student With Big Tits, 巨乳轉校生既是天使又是惡魔這件事",manga,This is a story about a high school boy who is afraid of big tits who gets caught up with the new transfer student with big tits!,"Romance, Comedy, Doujinshi, School Life, Web Comic, Slice of Life",Sanka Kumaru,Sanka Kumaru,8.4497,https://mangadex.org/covers/f991e6e5-7183-4ff3-be2b-22b2727b6233/182a7344-995e-4e3b-bcc8-7f71b39ec94a.jpg,2021
"Tensei Shitekara 40-nen. Sorosoro, Ojisan mo Koi ga Shitai. Nidome no Jinsei wa Harem Route?!","転生してから４０年。そろそろ、おじさんも恋がしたい。　二度目の人生はハーレムルート!?, It's been 40 years since I was reincarnated. It's time for this uncle to fall in love., Прошло 40 лет с тех пор, как я перевоплотился. Пришло время этому дяде влюбиться.",manga,"Forty years have passed since his reincarnation, and the guild leader, Girold, has been working diligently. Looking back on his life, he realizes that he hasn't been able to get married, so he tries his best to get a girlfriend, but there is no luck. He thinks he's not popular, but the girls around him are trying to approach him… The harem love comedy from ""Shosetsuka ni Narou"" begins! (DeepL)","Comedy, Survival, Adventure, Magic, Harem, Isekai, Fantasy, Adaptation",Seiro,Emua,7.1633,https://mangadex.org/covers/60296233-d377-4df8-bb2f-b4090999498c/f8c1432b-69b6-43f6-b520-6dba381ab6a0.jpg,2020
Dungeon Reset,"던전 리셋, 重启地下城, ダンジョンリセット, Перезапуск подземелья, 副本重置, Reajuste de la mazmorra",manga,"Dawoon's ordinary life is turned upside down when he is summoned into the Dungeon, where he must play a deadly game, outlasting dangerous monsters and life-threatening traps. To make matters worse, he's only a mere crafter with zero combat abilities. But after Dawoon falls into a trap and survives after a glitched reset, he's gained random but oddly helpful skills. He'll need to get creative to clear the game and return home, with a bloodthirsty assistant and an adorable ground squirrel along for the ride. Now that the rules no longer apply to him, what possibilities await in the tunnels below.","Monsters, Action, Long Strip, Comedy, Survival, Adventure, Isekai, Drama, Fantasy, Web Comic, Cooking, Supernatural, Adaptation, Full Color",DAUL (다울),Ant Studio,8.3802,https://mangadex.org/covers/dcdcc8c7-932e-4f60-a900-5f19934eb6cf/7bf49bfe-3a7c-4619-91ac-f23f51432131.png,2020
Tensei Shitara Dragon no Tamago Datta ~Ibara no Dragon Road~,"転生したらドラゴンの卵だった ～イバラのドラゴンロード, Reincarnated as a Dragon Hatchling, Reincarnated as a Dragon Egg: Thorny Road of a Dragon, Перерождение в яйцо дракона: Я стану сильнейшим, 轉生之後的我變成了龍蛋 ～目標乃是世界最強～",manga,"When I came to, there I was—in a strange and unfamiliar forest.

Here, it seems apparent that it’s like a fantasy world, one brimming with magical and fantastical beasts. Far from being just a fantasy world, though, it would look as if I am able to peer into the numerical stats and abilities of my foes and I, not unlike that of a game.

Hunt down magical beasts, level up, rack up ⟨Titles⟩, and evolve into ever-higher-ranked dragons!

A mysterious and enigmatic voice echoing through my head pressures me; it’s tellin’ me: ⟦Aim for the strongest⟧!","Reincarnation, Monsters, Action, Comedy, Adventure, Magic, Isekai, Drama, Fantasy, Web Comic, Adaptation",NAJI Yanagida,RIO,8.4747,https://mangadex.org/covers/fa197a3e-6dd6-470d-91e4-c0130a1392d3/910337de-b1c7-482b-93a2-760b20af0021.jpg,2017
"Tensei Shita Moto Dorei, Saikyou no Kizoku ni Natte Toshiue no Musume to Sekai Saikyou wo Mezashimas","転生した元奴隷、最強の貴族になって年上の娘と世界最強を目指します, Died a Slave, Reborn a Noble: Becoming the Strongest With a Daughter Who's Older Than Me",manga,"Louis, a fighter who fights slaves in the stadium. Finally loses his life in the match one day. However, the next time he opens his eyes he finds himself in a gorgeous mansion. Louis is reincarnated as the sixth son of a nobleman! And one day after more than a decade has passed, Sharon, a fellow slave from his previous life, appears in front of him.  Sharon, who was a child in his previous life, has grown into an adult woman older than him――!?","Reincarnation, Action, Comedy, Adventure, Magic, Fantasy",Miki Nazuna,Tanahashi Namoshiro,6.7259,https://mangadex.org/covers/1ee404fd-2774-4030-929d-405451f885b7/dfce4865-e0cc-4535-8261-4d63c8c8be3a.jpg,2021
Ouji-sama no Tomodachi,"王子様の友達, 学園の王子様とハグする話, The Prince's Friend, The Story About Hugging the School Prince, 王子大人的朋友, A Prince of a Friend",manga,"I'm always at the mercy of the prince!?
A slapstick romantic comedy with a handsome girl!","Romance, Comedy, School Life, Web Comic, Slice of Life",Sukeroku,Sukeroku,8.5794,https://mangadex.org/covers/ec387b13-b35c-4abe-a089-5b69ff429118/092f54e9-1908-46db-8076-d378fcd58320.jpg,2022
"Tensei Kizoku, Kantei Skill de Nariagaru ~Jakushou Ryouchi o Uketsuida node, Yuushuu na Jinzai o Fuyashiteitara, Saikyou Ryouchi ni Natteta~","転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～, As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World: I Inherited a Weak Territory, and If I Increase the Number of Capable Personnel, It Will Become the Strongest Territory, 轉生貴族，以鑑定技能成名～因為繼承了弱小的領地，所以如果增加了優秀的人才，就會成為最強的領地～",manga,"After being reincarnated, Ars Louvent is supposed to live in a different world as a weak aristocrat. Both his physical strength and intelligence were mediocre in both worlds, but here he naturally possessed a skill called ""Appraisal"" that allowed him to see the potential of any person. By gathering talented people by his side, Ars uses this ""Appraisal"" skill to transform his weak territory into the strongest one! But the road ahead of him won't be so simple.","Reincarnation, Action, Comedy, Adventure, Magic, Military, Isekai, Drama, Fantasy, Web Comic, Adaptation",Miraijin A,Inoue Natsumi,7.4551,https://mangadex.org/covers/fef2e4da-36f9-48e9-8317-2516f4b6ab14/b24a9709-150e-4362-983a-aac9f165654c.jpg,2020
Tensei Inja wa Hokusoemu,"転生隠者はほくそ笑む, The reincarnated hermit smiles",manga,"By the power of the goddess, I was reincarnated in the world of VRMMORPG ""Valkyria Chronicle"".   
  
Apparently, in the real world, he died from overwork due to his life as a company slave.  
   
I don't have the original body … If so, I will live faithfully to my desires, create a dungeon with the female character I like, and have a carefree (innocent) sex life … I will live a good life!   
  
(I hope the former description wasn't from the translator for this series, because you know it was 100% Rewritten.)","Reincarnation, Action, Adventure, Virtual Reality, Video Games, Harem, Isekai, Fantasy, Monster Girls, Adaptation",Sumisu Jouji,Saitou Chiaki,5.8988,https://mangadex.org/covers/5470fb21-028e-49e7-8b1e-2df5946ce0aa/4b3747dc-ccce-40b9-9d3f-6bdf2283278b.jpg,2020
