title,alt_title,type,description,genre,author,artist,rate,image,released
The Hero Returns,"Hero, Returns, 영웅, 회귀하다, Герой возвращается, Heroe, regresa",manga,"The strongest hero of humanity, Kim Sung Bin.

He threw everything on the line and fought… but he still couldn’t prevent the destruction of the world.

However, his legend has just begun as he returns 20 years into the past.

“I’ll definitely… kill it this time.”

Now fully equipped with overwhelming power and experience, the hero’s raid isn’t over yet!","Time Travel, Monsters, Action, Long Strip, Adventure, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color",B. Ain (흑아인),Yoon Goon (윤군),8.1263,https://mangadex.org/covers/e0966537-58a1-421b-8ea9-3e7f02d703c4/5cef80fc-a670-45ad-bfdb-3c9869445691.jpg,2022
Juujika no Rokunin,"La cruz de seis personas, Six People on Crosses, Распятие Шести, 十字架のろくにん, Cross of Six Men",manga,"”Is it okay to kill people?""  
A treacherous revenge suspense by Shiryu Nakatake, a newcomer to Bessatsu Shonen Magazine.  

""Shun, if someone is converted, let him go and do nothing. He should be given a chance to be reborn.""  

""Grandpa, I hope he doesn't reincarnate himself.""  
In order to defeat several non-human monsters, the boy also became something non-human.  

Shun Uruma, a sixth-grade student, was named ""Experimental body: A"" by five of his classmates and was severely bullied and lived in hell. His only peace was with his brother, who loved him, and his parents, who protected him…. . until the five monsters killed his family.  

When he finally loses everything and faces true hell, a dark ""wish"" is born inside Shun. He was reborn under the training of his grandfather, who served in a secret unit during WWII. Now, four years later, he appears in front of his fated enemy.  

""I won't let ANYONE get in the way of my revenge.""","Thriller, Psychological, Sexual Violence, Harem, Gore, Drama, Tragedy",Nakatake Shiryuu,Nakatake Shiryuu,7.7258,https://mangadex.org/covers/00446151-d199-45d6-8671-821db1151e6c/b6810c0f-9577-473a-867b-4864fdc5c147.jpg,2020
Gensou Gourmet,"Fantasy Gourmet, Gourmet in different world., 幻想グルメ, 幻想グルメ〜健康で文化的な最低限度の異世界生活〜",manga,"One day, Shunichirou suddenly transferred to a different world.  
His reason for living in this different world… to see, touch, and smell, -eating unknown food!  
Along with Sylphin, a Beastman Maid, they have an adventure eating fantasy gourmet in a different world!  
  


---

**Links**  
[Original Webnovel](https://ncode.syosetu.com/n4940de/)  
[Author's Twitter](https://twitter.com/amaneko2)","Monsters, Demons, Comedy, Office Workers, Isekai, Fantasy, Monster Girls, Slice of Life, Cooking, Supernatural, Adaptation",Amana Kouta,Otsuji,8.4639,https://mangadex.org/covers/ede48b14-8d83-41cb-9559-c7d859fd23fc/619423f3-d5ed-433f-8eb6-6aa97962ec61.jpg,2016
Release That Witch,"Освободите эту Ведьму, 放开那个女巫",manga,"A male engineer transmigrated into another world, and became a prince. This place strikingly resembles the Middle Ages of Europe, but at the same time, it seems kind of different? Witches truly exist, and they even possess magic powers! Magic powers are productive forces! Save the witches, liberate the productive forces! Open map, fight demons, break conspiracies, climb up the science and technology tree, and open the path of hardcore ‘farming’!","Action, Demons, Long Strip, Romance, Adventure, Magic, Harem, Military, Isekai, Drama, Fantasy, Web Comic, Supernatural, Adaptation, Full Color",Er Mu,Dr. Woodman,8.1814,https://mangadex.org/covers/aafb046c-9de4-4c3d-990c-6d75b079c0b9/ee278e22-9bfb-4b1b-9681-f8782b93e57b.jpg,2018
Jack Jeanne: PUPPET,"PUPPET, Марионетка",manga,,"Oneshot, Drama, Mystery",Ishida Sui,Ishida Sui,6.6,https://mangadex.org/covers/9065edbb-87ce-4286-8f17-3e78560ce711/992dd4cb-ae7a-4892-86ef-6394501495ef.jpg,2022
Arknights: Rhodes Kitchen -TIDBITS-,"罗德厨房——回甘, アークナイツ ロドスキッチン -TIDBITS-",manga,"This is a collection of files regarding the daily lives of Rhodes Island's operators as they relate to food. May the smells of the kitchen warm our hearts and guide us true on the road ahead. The past is gone, it's good for now.","Sci-Fi, Fantasy, Web Comic, Slice of Life, Cooking, Adaptation",Hypergryph,Bakanoko,9.1337,https://mangadex.org/covers/7431ff7d-ad63-4831-bd1e-e63aef2da6bc/ab11b5c2-2591-458b-9ba9-cb01b1b75be4.jpg,2022
Kuroko no Basket - Kagami-kun's Lover (Doujinshi),El amante de Kagami-kun,manga,,"Romance, Comedy, Boys' Love, Doujinshi",YS (Satou),YS (Satou),,https://mangadex.org/covers/ff3d3cc0-4325-4549-b922-72a866d41213/bc03af41-1d33-4257-8846-a1bb0890e045.jpg,2013
P.S. Waiting for You by the Lake,"利奥, Leo, P.S.我在湖边等你",manga,"Leo and Alexis lived in the same small town when they were kids and were best buddies. The two loved to spend their summers at the Green Rock Lake summer camp near town. But during the summer when they were eleven, Alexis ended his friendship with Leo over a stupid reason. After that, the two did not see each other again because of their families' situation. But during the summer when they were eighteen, the two met once again at Green Rock Lake...","Long Strip, Boys' Love, Drama, School Life, Slice of Life, Full Color",小文humiko,小文humiko,7.7586,https://mangadex.org/covers/b3293575-94bb-4467-b992-4de2174615f7/0edaf4a5-0079-4e93-9b3b-79f898c9d691.jpg,2022
Herami Shimai wa Docchi mo Yanderu,"平良深姉妹はどっちもヤんでる, Insecure Herami Sisters, The Yandere Little Sister and the Menhera Big Sister, La hermana pequeña Yandere y la hermana mayor Menhera, 平良深姐妹都“病”得不轻",manga,"Sera, (Real Name: Herami Sera) is an approval-seeking girl (26 years old) who works at a maid cafe. Her younger sister, Kira, is an idol (19 years old) who is rapidly gaining popularity with her cool, and mature character. However, the real Kira only ever thinks of her sister and tries to cheer her up in every possible way to help her sister with her mental health and anxiety.","Comedy, Incest, Girls' Love, Drama",Kaneko Aru,Kaneko Aru,8.4576,https://mangadex.org/covers/c7cc0e57-aa04-42d7-a726-822f66718a35/63638f4e-157b-4ae3-84b6-acc186d9a279.jpg,2022
Half Succubus wo Hirotta,"ハーフサキュバスを拾った, Taking Home a Half Succubus, Llevando a casa una medio súcubo",manga,Take a child half succubus and half human.,"Loli, Comedy, Web Comic, Slice of Life, Full Color",Zurikishi,Zurikishi,7.8759,https://mangadex.org/covers/f654255b-a884-4141-a568-c94561da31b6/1021308f-8511-4f29-9c4a-3a4c471de3ac.jpg,2022
The Academy's Genius Swordsman,"아카데미의 천재칼잡이, Academy Cheonjaekaljabi, Academy’s Genius Swordmaster, 皇家学院的天才剑豪",manga,"Following a momentous battle against giants for the fate of the world, Ronan emerges victorious as the last man standing of the Imperial Army. As he laments this hollow victory with his dying commander, Grand Marshal Adeshan, they quickly learn that the war is far from over and an overwhelming force of giants descends from the heavens.

Fearing the worst, yet seeing hope in the courageous Ronan, Adeshan uses her last time slip to send him back to the past, so that he can enroll in the prestigious Phileon Academy and become the strongest swordsman the empire has ever seen!","Time Travel, Monsters, Action, Long Strip, Martial Arts, Adventure, Magic, Military, Drama, School Life, Fantasy, Web Comic, Full Color",Sichi,Sichi,8.6727,https://mangadex.org/covers/633d470a-4146-4dd3-b841-93dd648c23a5/cab5fd63-50ba-4272-b944-e7fcc5f2f0e9.jpg,2023
Bloodborne,"Bloodborne - Lady Maria and The Old Hunters, Порождение крови - Леди Мария и старые охотники",manga,The tale of Lady Maria becoming a hunter who hunts the beasts that terrorizes the city of Yharnam.,"Thriller, Monsters, Action, Psychological, Survival, Martial Arts, Magic, Doujinshi, Gore, Drama, Horror, Fantasy, Web Comic, Aliens, Supernatural, Mystery, Tragedy",Qizeaqfile,Qizeaqfile,8.2105,https://mangadex.org/covers/72910de2-5313-4834-83f1-6a8a23a660ec/9f11ce02-112b-48eb-9287-6053cdf74c7e.jpg,2017
Douse Shinu Nara Kiss Shitai!,どうせ死ぬならキスしたい！,manga,"Kanamaru, a man who has had many romantic relationships, is currently in love with Liu, a foreign student working part-time at a Chinese restaurant he frequents.

The two happen to be alone in the restaurant, and just when he thinks he's ready to confess his feelings, they are attacked by a gang of robbers!?

Every time the two get along well, for some reason their lives are in danger. Where will their tenuous love lead?!

A chaotic and frustrating love comedy about a playboy and a kuudere with runaway sexual desires!","Romance, Comedy, Boys' Love",Mitao Den,Mitao Den,4.8333,https://mangadex.org/covers/77483cdf-6a11-4b2b-88a8-c93b9ee36f51/32653b8d-a1ea-4687-a1ef-90c92ea7c88a.jpg,2023
Juvenile Prison,"소년교도소, Тюрьма для несовершеннолетних",manga,"'Cha Ju-young' is imprisoned in a juvenile detention center for rendering his gangster father comatose.
Not long after, the father, who was thought never to wake up, comes to visit...","Action, Long Strip, Martial Arts, Adventure, Drama, School Life, Web Comic, Full Color",Cheongmin,Lee Soo Hyun,8.7451,https://mangadex.org/covers/dd39af11-4036-4478-a510-fe20ecd762dc/957d95fb-fab4-4972-9f7b-e6bc217363d9.jpg,2024
Buddy Go!,"バディゴ！, Buddy Go!",manga,"Shizuku Ishiai, a 2nd year middle school student, loves dancing, but is bad at expressing herself, so she crossdresses and posts videos of her dances on the popular website ""Smile Douga,"" under the alias ""Ai."" And she had declared the ""dancing prince,"" Hayate, her rival. But, after a few unexpected events, and her attempts to best him, she's somehow thrown into an idol unit with him; furthermore, a MALE one?!","Romance, Comedy, Crossdressing, School Life",Kurosaki Minori,Kurosaki Minori,8.5238,https://mangadex.org/covers/b82b27ba-3072-4f5b-9f47-44947af099ff/061ee894-a56a-4e9a-badb-22145864726c.jpg,2014
The Heavenly Demon Destroys the Lich King's Murim,"천마, 리치왕의 무림을 부수다, Небесный Демон уничтожает Мурим короля Лича",manga,"An unknown voice disturbed me while I was levitating during my cultivation to reach the transcendent demonic state.

My concentration had been broken, and I fell into an unconscious, overloaded state. When I awoke a month later, the Lich King had already taken control of the Murim.

After the battle that ended with the destruction of the Heavenly Demon Cult, I awoke a hundred and forty years later in a Murim where magic and martial arts coexisted.

---
- [Original Webtoon <Webtoon kakao>](https://webtoon.kakao.com/content/%EC%B2%9C%EB%A7%88-%EB%A6%AC%EC%B9%98%EC%99%95%EC%9D%98-%EB%AC%B4%EB%A6%BC%EC%9D%84-%EB%B6%80%EC%88%98%EB%8B%A4/2583)","Action, Long Strip, Martial Arts, Adventure, Fantasy, Web Comic, Adaptation, Full Color",Bung Deng (붕뎅),Mansun (만순),7.8333,https://mangadex.org/covers/5f848c5e-337f-4f5c-86b5-8e4b76842f8e/dfb8c4f6-a865-4696-862a-d73b9d22eea2.png,2021
Confession Attack,"고백어택, Gobaek Attack, Ataque de confesión",manga,"Hana was never first. Always because Han Geon Woo came in first every time!
Hana would do anything to best Geon Woo, even though she can't figure him out.
This time, she tried to shock him by confessing...
He believed and accepted the confession though? 
Does he like me?","Long Strip, Romance, Comedy, School Life, Web Comic, Slice of Life, Full Color",늠개,늠개,7.3448,https://mangadex.org/covers/0a4915d7-e84e-4d14-b7bf-c14a3a0995e0/a4de6a55-92c6-485a-aeb1-c8cde9feecf5.png,2023
The Swordmaster's Son,"Youngest Son of the Renowned Swordsmanship Clan, 검술명가 막내아들, The Youngest Son of a Renowned Family of Swordsmen, Младший сын фехтовальщика, Youngest Son of the Renowned Swordsmanship Clan, Swordmaster's Youngest Son, El hijo menor del maestro de la espada",manga,"Jin Runcandel was destined to become the head of his swordmaster clan. But despite his best efforts, he's banished for his shoddy swordsmanship. Though Jin eventually makes a contract with the god Solderet and is freed from the curse that hindered his abilities, he meets a rather unfortunate end. In the next moment, however, he awakens as a baby, long before his tragedy began.

Armed with a second chance and some new powers, Jin swears to fulfill his destiny and become the ultimate swordmaster!

---

- [Webtoon PV](https://www.youtube.com/watch?v=UspJjUOFrFQ)","Time Travel, Monsters, Action, Long Strip, Adventure, Magic, Drama, Fantasy, Web Comic, Supernatural, Adaptation, Full Color",Emperor Penguin (황제펭귄),Lee Je-Won (이제원),8.7773,https://mangadex.org/covers/85a8ebda-9959-4244-ad03-a2d9f6a746a2/820726d7-e97b-4619-b2b1-0e1af22ec993.jpg,2022
OL Vtuber to Oshi JK-chan,"OL Vtuberと推しJKちゃん, OL Vtuber与她推的JK, OL Vtuber與她推的JK",manga,"Kumagai Hinano, a regular office worker, relieves her stress with baths, alcohol, and Vtubing! She is a streamer of video games. Her favorite Vtuber is Emori Ato, a character with a seductive and sexy voice that just makes one melt!

As chance would have it, Hinano decided to collaborate with her fave. When she went to meet up with her, the person waiting for her was...?!

The story of a tired office worker Vtuber and a mysterious JK onee-san who collaborate with each other in a very exciting way.","Romance, Office Workers, Girls' Love, School Life",Sinogiasa,Sinogiasa,8.2121,https://mangadex.org/covers/6d216412-2453-451b-91b6-bedfcd9639d4/5f88cea0-a566-4971-8823-b14d686a4150.jpg,2023
I Became the Tyrant of a Defense Game,"디펜스 게임의 폭군이 되었다, Tyrant of the Tower Defense Game, Defense Game Pokguni Doeeotda, 成为塔防游戏里的暴君, Me convertí en el tirano de un juego de defensa",manga,"Protect the Empire was considered unbeatable for over a decade until streamer extraordinaire Mr. Gamer Geek comes along and defeats the game on its hardest mode. But just when he's about to rest on his laurels, he's sucked into the world of the game by some mysterious figure and thrust into Prince Ash's body!

Ash now realizes that every click and command he had mindlessly sent out had real, gruesome costs - including his teammates' lives that he sacrificed for the sake of victory. To make up for his previous actions, Ash promises to keep his whole team alive this time while using his wits and knowledge to survive the hellish onslaught of monsters. 

But who brought him to this world in the first place, and why?

Ash may soon find the answers to these questions - if he can survive the bloody battlefield first!","Reincarnation, Monsters, Action, Long Strip, Survival, Adventure, Video Games, Magic, Isekai, Gore, Drama, Fantasy, Web Comic, Adaptation, Full Color",Ha Jung (하정),Gyong (굥),8.9196,https://mangadex.org/covers/a846b1d7-2e57-4622-acdf-9c584d07ce7f/71675d54-8c30-45f7-a07b-bfc3518c6695.png,2022
"WataMote: No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!","It's Not My Fault That I'm Not Popular, わたモテ, 私がモテないのはどう考えてもお前らが悪い!, 내가 인기 없는 건 아무리 생각해도 너희들 탓이야!, No importa como lo vea, ¡Es culpa suya que yo no sea popular!",manga,"Tomoko Kuroki naturally assumed she'd be popular when she got to high school... but then cold, hard reality swooped in for the attack! Turns out all the popularity points she's racked up in her video game dating sims are worth squat in real life, and Tomoko's far from prepared to navigate high school! 

How can she possibly hope to impress her classmates when she can't even talk to them?! A new high-school heroine is born (maybe?)!","Comedy, Drama, School Life, Slice of Life",Tanigawa Nico,Tanigawa Nico,9.0822,https://mangadex.org/covers/e182b09f-09ab-4201-8f37-0ced6822eb39/91ce95cf-c86c-4303-bd15-e58b07025a9f.jpg,2011
Minecraft: Journey to the World's End,MINECRAFT～世界の果てへの旅～,manga,"The adventure to the end of the world begins!

The world-famous game with the theme of ""freedom"" makes its grand debut as a manga!
Don't miss the crafting that is even freer than in the game!
Join the main character Nico and his friends as they set off on an adventure to the ""end of the world""!
Familiar characters and items from the game will also appear!","Action, Comedy, Adventure, Video Games, Slice of Life",Kazuyoshi Seto,Kazuyoshi Seto,5.7358,https://mangadex.org/covers/3bcbfa49-6d0b-4130-868b-86897af19d45/bd2464d9-1bc1-4ca7-906b-904ad0cb8119.jpg,2020
Osoto Gohan wo Goisshoni,"おそとごはんをご一緒に, 邀你一起在户外共进美餐, Let's Eat Outdoors!, Please Join Us For Osoto Gohan",manga,"Fuuka, a college student who enjoys cooking but is confined by her apartment's small kitchen, meets Yomogi, a wild outdoor girl who isn't particularly good at cooking. Their outdoorsy meal that started by chance is somehow very delicious and heartwarming....

This is the start of a gourmet outdoor manga about two women helping each other out!","Girls' Love, Slice of Life, Cooking",Hazuki,Hazuki,8.5,https://mangadex.org/covers/13c18abd-2a44-4f1e-86fb-63f970566c3c/90c1f600-f883-492a-886b-d8825a658db7.png,2022
Kuro Gal-san ga Kuru!,"黒ギャルさんが来る！, Black Gal–san Is Coming!, A Black Gal Is Coming!, A black gyaru is coming!, 黑辣妹小姐来啦！",manga,"A beleaguered office worker finds his way to a cafe where he decries the hardships of his routine. In there, a friendly gyaru high schooler notices his lamentations and after hearing him vent out, she cheers him up the ""gyaru"" way and they exchange contacts.  
  
What will become of this unlikely friendship?","Romance, Comedy, Slice of Life, Gyaru",Tamagoro,Tamagoro,8.1071,https://mangadex.org/covers/704168db-8ad7-4eee-a300-bdc7eb4c78ba/8a5e840a-baa3-4b4b-a905-3725f28448c5.jpg,2020
Black Kanojo,"Девушка в чёрном, ブラック彼女, 黑色的她, 블랙 그녀",manga,"Hoshino Teru, a mediocre middle school boy has a crush on Amamiya, his childhood friend. However, ""Micchan"" stands between them, and brings chaos upon Teru's life.","Action, Psychological, Romance, Comedy, Harem, Drama, School Life, Horror, Mystery",Yoshihara Masahiko,Yoshihara Masahiko,6.1704,https://mangadex.org/covers/743c3648-a027-493c-a266-814de86336be/2ce21cc7-585e-48a0-936e-53ba324cd3b3.jpg,2015
??? Rank no Ura Soubi Musou,"？？？ランクの裏装備無双, Unparalleled ??? Rank Hidden Equipment",manga,"A young man named Jinfrey, decides to become an adventurer in order to earn a lot of money and make his family happy.

However, the moment he tries to become an adventurer, Jinfrey remembers the memory of his previous life.

This world that Jinfrey was born and raised, was exactly the same world as “Ground Seven”, a shitty game that he played in his previous life to the point where he was called a “Hardcore Player” !

Although confused by the suddenly revived memories, by using this knowledge, Jinfrey aims to become unparalleled with the help of the secret “Hidden Equipment” in this world.","Action, Long Strip, Adventure, Web Comic, Full Color",Kiyoro,SORAJIMA Studio,6.6812,https://mangadex.org/covers/edb33ccd-4218-4581-ac56-037d8daa2e86/df220050-850e-4660-a3cd-98d6558ae50b.png,2024
The 31st Piece Turns the Tables,"31번째 말은 게임판을 뒤엎는다, 31 Beonjjae Mareun Geimpaneul Dwieopneunda, 31-я фигура перевернёт игровую доску, The 31st Piece Overturns the Board, La 31ma pieza revierte la situación",manga,"Ever since Kang Seol was a child, he's had strange dreams where he and several people wear masks while playing ""World of Eternity,"" a board game full of quests and adventures. And although Seol was great at the game, he was never able to win. But now, his dreams have become reality, and humans have become game pieces!

Humanity's only hope is for Seol to recall what he did in his dreams to survive. Even though he's never won, will he be able to turn the tables and finally make his way to victory?","Monsters, Action, Long Strip, Adventure, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color",Nungwi (눙귀),kalma,8.7398,https://mangadex.org/covers/700223c7-f5e3-42ef-8577-42392b349f8a/2bbf7286-c417-46f1-ae4b-69b4b2b83335.jpg,2023
Ippo,"Step, イッポ",manga,"A maker of individually crafted shoes returns home from a trip to Florence, Italy. One day, a surprise visitor comes to his studio…","Drama, Slice of Life",est em,est em,9.0625,https://mangadex.org/covers/e692ce8c-181e-45a4-833d-9e7ea2f08715/c461a886-0696-48b5-9cfb-41361efa3f7d.jpg,2012
Archmage Streamer,"BJ대마도사, BJ Archmage, Grand Warlock Streamer",manga,"Jung Hyunwoo is just an unlucky gamer barely making ends meet in the VR game ""God Wars."" He even ends up losing access to his game account due to a horrible accident and is forced to create a new character. 

In the process, he discovers that he has an ability that allows him to see hidden information in the game, which leads him to become a Grand Warlock. 

Now equipped with a mind-blowing skill and a legendary class, all that's left is for him to level up and go from zero to hero...

---

- [Webtoon PV](https://www.youtube.com/watch?v=_7M4wH6g1eI)","Monsters, Action, Long Strip, Adventure, Virtual Reality, Video Games, Magic, Drama, Fantasy, Web Comic, Adaptation, Full Color",Dedart (디다트),SADU,7.814,https://mangadex.org/covers/9e30a074-8bbe-42ca-91c7-d086b4a8a56e/aa38cb4a-05be-47d2-a898-42b41c284377.jpg,2022
Zatsuyou Fuyo Jutsushi ga Jibun no Saikyou ni Kizuku made,"雑用付与術師が自分の最強に気付くまで, Until the Chore-Granting Sorcerer Realized That He Is at His Strongest",manga,"Wimme Strauss is an adjunct sorcerer who provides support and does odd jobs. However, after defeating the master of the hierarchy, he is expelled from the party by the leader, whose pride is hurt. Wimme is at a loss, but his childhood ~~stalker~~friend Heidemarie finds him and recruits him for the biggest party, the Wings of the Dragon.
""It's like a miracle ...... fuhehe.""
He claims that his achievement is a coincidence, but it's only a matter of time before everyone around him realizes what he's capable of.","Action, Adventure, Magic, Adaptation",Tokura Haka,Arakawa Shin,8.3282,https://mangadex.org/covers/751254d3-ba82-4f3d-9c3c-97c070469bff/a039d2aa-3de6-43ce-911d-ab4096458ae1.jpg,2021
Houkago no Idol ni wa Himitsu ga aru,"The After School Idol Has a Secret, 放課後のアイドルには秘密がある, У школьных айдолов есть свои секреты, 放学后的偶像有一个秘密",manga,"_""In my class, there is a true idol.""_

A first-year high school student at an ultra-elite school, Hiruno has to be the top student in his class according to his strict mother's order, but when he fails to fill in his first achievement test, he gets a red mark and has to take a remedial class. However, there is another participant in the remedial class...?","Romance, Comedy, School Life, Slice of Life",Amane Kashiko,Amane Kashiko,8.6418,https://mangadex.org/covers/d16f92a6-6f5f-442c-b011-b68abc986209/d3897db2-3aa1-446d-ba3e-6696d9cdbd71.jpg,2022
The Ultimate of All Ages,"Rebirth Of The Ultimate Master, The Eternal Supreme, 万古至尊, The Ancient Sovereign of Eternity, 这一世我要当至尊, 這一世我要當至尊",manga,"First among the ten martial emperors, Peerless Martial Emperor Gu Fei Yang met his demise in the Tiandang mountains. He was reincarnated fifteen years later, as Li Yun Xiao of the Tianshui Nation, and thus began a heaven-defying battlefront with the countless talents of the current generation. Martial arts of the nine heavens and ten divine realms. From then on, the whole world was set ablaze.","Reincarnation, Action, Long Strip, Martial Arts, Adventure, Isekai, Fantasy, Web Comic, Full Color",Tai Yi Sheng Shui,Jack Norway,8.0862,https://mangadex.org/covers/ca3692c0-2abe-4fba-91f4-1c76611539c6/f9a1f10c-f209-4701-8486-feec29064b5d.jpg,2021
Marrying The Villain,"嫁反派, Marry My Nemesis",manga,"In Yu Lingxi's previous life, she was forced to be sacrificed to the Prince Regent Ning Yin - a twisted and cruel madman who killed his brothers and father. Within two years of her marriage, Yu Lingxi passed away suddenly. After her death, Ning Yin did not set up a mourning hall nor attend her funeral, buried her, and even became more crazy, slaughtering the whole city. After she is reborn, she is still the noble daughter of the General's palace. Yu Lingxi and her guards try to find Ning Yin who was living on the streets, intending to avenge her former lover. However, when she arrives at the scene, she sees the thin boy being pressed to the ground and about to have his left leg broken.","Time Travel, Historical, Long Strip, Romance, Drama, Web Comic, Adaptation, Full Color",布丁琉璃,布丁琉璃,4.4688,https://mangadex.org/covers/70d5ce91-ef0a-41ff-a9da-a0ebde392a6c/3bce1f35-16d8-49b8-b633-2bcd4e9592b5.jpg,2023
Suterare Elf-san wa Sekai de Ichiban Tsuyokute Kawaii!,"捨てられエルフさん は世界で一番強くて可愛い！, The Abandoned Elf is the Strongest and Cutest in the World!",manga,"“Dear top players, this game is a real parallel world. If you reincarnate and save the world, any wish you have will be granted.”

Former popular voice actress Ayano responded to the proposal from the goddess. In order to shine as a voice actress once again. Reincarnated as the strongest species of high elf, she aims to “clear the game” in the parallel world with the strongest and cutest kemo-eared heroine using her gaming knowledge, but –!?","Reincarnation, Isekai, Drama, Fantasy, Adaptation",Tsukiyo Rui,Yamada Souda,6.7996,https://mangadex.org/covers/56504d3e-3ceb-44e5-811c-0293f1919042/5b146b0d-1894-4521-9844-66c263d88ab8.jpg,2024
Critically-Endangered Species Hacchin-Pamos,絶滅寸前動物ハッチンパモス,manga,"The Hacchin-Pamos is a critically-endangered species. Let's find out why.

A daily comic series from Q-Rais.","Animals, Comedy, Self-Published, 4-Koma, Web Comic, Full Color",Q-Rais,Q-Rais,9.0448,https://mangadex.org/covers/a6257666-bd4d-457b-9a44-d56dc91df1ba/d4e38537-d1df-4833-8035-a90f08f7dbeb.png,2024
The Vampire Dies in No Time,"The Vampire Dies In No Time., The Vampire Dies Now, 吸血鬼すぐ死ぬ, 吸血鬼即将便当",manga,"Vampires are said to have many weaknesses to balance out their incredible powers. The vampire lord Draluc just so happens to be weak to... everything. He dies, disintegrating into a pile of sand, at the slightest shock.

After a disastrous encounter with the vampire hunter (and author) Ronaldo leaves Draluc’s castle destroyed, Draluc decides to pack up his remaining belongings and adorable armadillo familiar John and move into Ronaldo’s office (despite the hunter’s protests). Chaos ensues as this unlikely duo is forced to work together while fending off perverted vampires, Ronaldo's terrifying editor, Draluc’s eccentric family, and more—with Draluc dying continuously along the way.
  
[Anime Adaptation Announcement](https://www.animenewsnetwork.com/news/2020-05-06/itaru-bonnoki-the-vampire-dies-in-no-time-manga-gets-anime/.159208)","Monsters, Action, Comedy, Vampires, Supernatural",Bonnoki Itaru,Bonnoki Itaru,8.3901,https://mangadex.org/covers/5725100d-81bd-467d-b680-1f4dff43adbd/83fb9657-c8f5-44ad-adfb-aaa776a15a29.jpg,2015
Koda-chan and Fukumura-san,小田ちゃんと福村さん,manga,,"Romance, Self-Published, Office Workers, Girls' Love, Web Comic, Slice of Life",Saone Kushima,Saone Kushima,8.7561,https://mangadex.org/covers/39804f81-34cd-486a-9090-4a290f62580f/af78d855-ea8b-4663-87e9-cfc53a5dba35.jpg,2023
Mairimashita! Iruma-kun,"Welcome to Demon School! Iruma-kun, Приди же в Мир Демонов, Ирума-кун!, 入间同学入魔了, 魔入りました！入間くん, 마에 들어갔습니다! 이루마 군",manga,"Iruma Suzuki, fourteen years old, can’t say no to any request. His irresponsible parents make him work dangerous job after dangerous job to support them, and then one day they sell him to a demon! But, much to his surprise, the demon wants to adopt Iruma as his grandson? Unable to refuse his request, Iruma becomes the grandson of the great demon Sullivan. His new doting demon grandfather enrolls him in Demon School Babyls – where Sullivan is coincidentally the principal. Thus begins Iruma-kun's extraordinary school life among the otherworldly, meeting many colorful demons, taking on daunting challenges, and facing his true self as he rises to become someone great. 

Cozy magical slice of life with occasional urban terrorism.","Monsters, Action, Demons, Romance, Comedy, Crossdressing, Magic, Isekai, School Life, Fantasy",Nishi Osamu ,Nishi Osamu ,9.3648,https://mangadex.org/covers/d7037b2a-874a-4360-8a7b-07f2899152fd/727507d5-949c-4586-b976-1ec0997e5200.jpg,2017
Isekai Mahou wa Okureteru!,"Магия другого мира так отстаёт!, 異世界魔法は遅れてる！, 이세계 마법은 뒤떨어졌다!, The Magic in this Other World is Too Far Behind!, The Other World's Magic Is Too Far Behind!, 異世界魔法實在太落後！, 异世界魔法实在太落后！, 異世魔法滯哉！ (Classical Chinese)",manga,"Suimei and two of his best friends find themselves mysteriously summoned to another world. There’s a cute princess, magic galore, a Demon Lord that needs to be defeated, and a world that needs to be saved — the works! Too bad Suimei isn’t interested.

His friends are all too ready to play the parts of heroes, but Suimei just wants to get home. He has an advantage as a magician... but he’s in for a rude awakening when he finds out what actually passes for magic in these parts.","Monsters, Action, Demons, Romance, Adventure, Magic, Harem, Isekai, Fantasy, Adaptation",Hitsuji Gamei,Comta,7.1096,https://mangadex.org/covers/77252074-f9b5-478e-99e9-74c631c69d40/5dde90d2-ae07-4122-a55a-e4c78bd38c40.jpg,2016
Tengoku Daimakyou,"Иллюзия рая, 天国大魔境, 天國大魔境, Heavenly Delusion, Великая небесная стена",manga,"Some children live in a comfortably numb world, surrounded by walls. However, one day, a kid named Tokio receives a message asking ""Do you want to go outside of the outside?""    Now, from the Heaven that is starting to crumble, the children begin their adventure!","Award Winning, Sci-Fi, Genderswap, Monsters, Romance, Comedy, Survival, Adventure, Post-Apocalyptic, Sexual Violence, Gore, Drama, Mystery, Tragedy",Ishiguro Masakazu,Ishiguro Masakazu,8.8761,https://mangadex.org/covers/eeb2ab0e-7dbc-4f0c-b476-8181d44217a8/87f694a8-91dd-4841-9e94-873646dc72a9.jpg,2018
Kumamiko,"Girl Meets Bear, Жрица и медведь, くまみこ, Bear Shrine Maiden",manga,"In the deep regions of the Touhouku area, the comedic story of the miko of bears, 14-year-old Machi, and her childhood friend, the talking bear Natsu, takes place as Machi struggles to qualify for city-life with Natsu's assistance.","Animals, Comedy, Drama, Slice of Life, Supernatural",Yoshimoto Masume,Yoshimoto Masume,8.5957,https://mangadex.org/covers/c4d5228c-846d-47c5-8659-0aa70d5c0d41/3dc252ad-be37-472c-8e83-87818de4e3d9.jpg,2013
